race_slug,race_id,driver_id,finishing_position,starting_position,car_number,status,laps,notes
2004-spring-thaw-100,,14363,19,,,,,
2004-spring-thaw-100,,14294,20,,,,,
2004-spring-thaw-100,,2911,21,,,,,
2004-spring-thaw-100,,22032,22,,,,,
2004-spring-thaw-100,,5843,23,,,,,
2004-spring-thaw-100,,20643,24,,,,,
2004-memorial-100,,3880,1,,,,,
2004-memorial-100,,15866,2,,,,,
2004-memorial-100,,20451,3,,,,,
2004-memorial-100,,181,4,,,,,
2004-memorial-100,,7419,5,,,,,
2004-memorial-100,,10667,6,,,,,
2004-memorial-100,,4194,7,,,,,
2004-memorial-100,,10910,8,,,,,
2004-memorial-100,,14187,9,,,,,
2004-memorial-100,,2911,10,,,,,
2004-memorial-100,,21903,11,,,,,
2004-memorial-100,,22477,12,,,,,
2004-memorial-100,,15732,13,,,,,
2004-memorial-100,,20139,14,,,,,
2004-memorial-100,,6359,15,,,,,
2004-memorial-100,,6384,16,,,,,
2004-memorial-100,,23035,17,,,,,
2004-memorial-100,,15955,18,,,,,
2004-memorial-100,,22032,19,,,,,
2004-memorial-100,,11210,20,,,,,
2004-memorial-100,,23301,21,,,,,
2004-memorial-100,,11096,22,,,,,
2004-memorial-100,,14294,23,,,,,
2004-first-supply-100,,10628,1,,,,,
2004-first-supply-100,,181,2,,,,,
2004-first-supply-100,,15866,3,,,,,
2004-first-supply-100,,11050,4,,,,,
2004-first-supply-100,,10910,5,,,,,
2004-first-supply-100,,15732,6,,,,,
2004-first-supply-100,,2370,7,,,,,
2004-first-supply-100,,14187,8,,,,,
2004-first-supply-100,,10667,9,,,,,
2004-first-supply-100,,20810,10,,,,,
2004-first-supply-100,,7419,11,,,,,
2004-first-supply-100,,21405,12,,,,,
2004-first-supply-100,,4194,13,,,,,
2004-first-supply-100,,11210,14,,,,,
2004-first-supply-100,,14530,15,,,,,
2004-first-supply-100,,13119,16,,,,,
2004-first-supply-100,,13291,17,,,,,
2004-first-supply-100,,6406,18,,,,,
2004-first-supply-100,,11926,19,,,,,
2004-first-supply-100,,22032,20,,,,,
2004-first-supply-100,,20643,21,,,,,
2004-first-supply-100,,23035,22,,,,,
2004-thomas-electric-75,,181,1,,,,,
2004-thomas-electric-75,,15866,2,,,,,
2004-thomas-electric-75,,11096,3,,,,,
2004-thomas-electric-75,,8715,4,,,,,
2004-thomas-electric-75,,4194,5,,,,,
2004-thomas-electric-75,,22477,6,,,,,
2004-thomas-electric-75,,10667,7,,,,,
2004-thomas-electric-75,,7419,8,,,,,
2004-thomas-electric-75,,11210,9,,,,,
2004-thomas-electric-75,,13890,10,,,,,
2004-thomas-electric-75,,14187,11,,,,,
2004-thomas-electric-75,,8381,12,,,,,
2004-thomas-electric-75,,13668,13,,,,,
2004-thomas-electric-75,,15732,14,,,,,
2004-thomas-electric-75,,13291,15,,,,,
2004-thomas-electric-75,,2911,16,,,,,
2004-thomas-electric-75,,14573,17,,,,,
