series_event_id,finishing_position,starting_position,car_number,driver_id,driver_name,driver_slug,sponsor,make,laps,led,status,points,result_section,source_url
265,21,,,20139,Rory Melbinger,rory-melbinger,,,,,,,feature,
265,22,,,15955,Mark Mackesy,mark-mackesy,,,,,,,feature,
266,1,,,13291,John Zimmerman,john-zimmerman,,,,,,,feature,
266,2,,,11091,Jeff Watters,jeff-watters,,,,,,,feature,
266,3,,,15866,Mark Eswein,mark-eswein,,,,,,,feature,
266,4,,,10910,Jeff Kendall,jeff-kendall,,,,,,,feature,
266,5,,,11096,Jeff Weinfurter,jeff-weinfurter,,,,,,,feature,
266,6,,,20451,Ryan Mathews,ryan-mathews,,,,,,,feature,
266,7,,,13890,Keith Bohmsach,keith-bohmsach,,,,,,,feature,
266,8,,,6384,Dean Lapointe,dean-lapointe,,,,,,,feature,
266,9,,,15732,M.G. Gajewski,m-g-gajewski,,,,,,,feature,
266,10,,,4194,Chris Weinkauf,chris-weinkauf,,,,,,,feature,
266,11,,,181,Adam Royle,adam-royle,,,,,,,feature,
266,12,,,10667,Jason Weinkauf,jason-weinkauf,,,,,,,feature,
266,13,,,14363,Kevin Brescia,kevin-brescia,,,,,,,feature,
266,14,,,11765,Jim Carlson,jim-carlson,,,,,,,feature,
266,15,,,13668,Judd Brandl,judd-brandl,,,,,,,feature,
266,16,,,14762,Kyle Kinder,kyle-kinder,,,,,,,feature,
266,17,,,12529,Joe Kryzkowski,joe-krzykowski,,,,,,,feature,
266,18,,,14187,Ken Reiser,kenny-reiser,,,,,,,feature,
266,19,,,8314,Erik Darnell,erik-darnell,,,,,,,feature,
266,20,,,8526,Frank Kreyer,frank-kreyer,,,,,,,feature,
266,21,,,8715,Gary Back,gary-back,,,,,,,feature,
266,22,,,20139,Rory Melbinger,rory-melbinger,,,,,,,feature,
267,1,,,4194,Chris Weinkauf,chris-weinkauf,,,,,,,feature,
267,2,,,10910,Jeff Kendall,jeff-kendall,,,,,,,feature,
267,3,,,8314,Erik Darnell,erik-darnell,,,,,,,feature,
267,4,,,8526,Frank Kreyer,frank-kreyer,,,,,,,feature,
267,5,,,12529,Joe Kryzkowski,joe-krzykowski,,,,,,,feature,
267,6,,,516,Allen Check,allen-check,,,,,,,feature,
267,7,,,20139,Rory Melbinger,rory-melbinger,,,,,,,feature,
267,8,,,15955,Mark Mackesy,mark-mackesy,,,,,,,feature,
