series_slug,series_name,season_year,race_number,race_date,race_date_raw,race_name,race_url,track_display,track_url,winner_name,winner_url,source_file
wisconsin-challenge-series,Wisconsin Challenge Series,2008,4,2008-07-19,19 July 2008,4,https://www.thethirdturn.com/wiki/2008_White_Race,"Kaukauna, WI",https://www.thethirdturn.com/wiki/Wisconsin_International_Raceway,Tim Rothe,https://www.thethirdturn.com/wiki/Tim_Rothe,2008_wisconsin_challenge_series.html
wisconsin-challenge-series,Wisconsin Challenge Series,2008,5,2008-08-01,1 August 2008,5,https://www.thethirdturn.com/wiki/2008_Larry_Detjens_Memorial,"Plover, WI",https://www.thethirdturn.com/wiki/Golden_Sands_Speedway,"Eugene Gregorich, Jr.","https://www.thethirdturn.com/wiki/Eugene_Gregorich,_Jr.",2008_wisconsin_challenge_series.html
wisconsin-challenge-series,Wisconsin Challenge Series,2008,6,2008-08-23,23 August 2008,6,https://www.thethirdturn.com/wiki/2008_WAXX_104.5/Budweiser_80,"Marshfield, WI",https://www.thethirdturn.com/wiki/Marshfield_Motor_Speedway,Jeremy Lepak,https://www.thethirdturn.com/wiki/Jeremy_Lepak,2008_wisconsin_challenge_series.html
wisconsin-challenge-series,Wisconsin Challenge Series,2009,1,2009-05-25,25 May 2009,1,https://www.thethirdturn.com/wiki/2009_Memorial_100_(WCS),"Plover, WI",https://www.thethirdturn.com/wiki/Golden_Sands_Speedway,Mark Eswein,https://www.thethirdturn.com/wiki/Mark_Eswein,2009_wisconsin_challenge_series.html
wisconsin-challenge-series,Wisconsin Challenge Series,2009,2,2009-06-13,13 June 2009,2,https://www.thethirdturn.com/wiki/2009_Nasonville_Dairy/Weber%27s_Farm_Store_80,"Marshfield, WI",https://www.thethirdturn.com/wiki/Marshfield_Motor_Speedway,Steve Holzhausen,https://www.thethirdturn.com/wiki/Steve_Holzhausen,2009_wisconsin_challenge_series.html
wisconsin-challenge-series,Wisconsin Challenge Series,2009,3,2009-07-04,4 July 2009,3,https://www.thethirdturn.com/wiki/2009_North_American_Cup_sponsored_by_3D_Construction_%26_Great_Lakes_Components,"Wisconsin Dells, WI",https://www.thethirdturn.com/wiki/Dells_Raceway_Park,Chris Weinkauf,https://www.thethirdturn.com/wiki/Chris_Weinkauf,2009_wisconsin_challenge_series.html
wisconsin-challenge-series,Wisconsin Challenge Series,2009,4,2009-07-31,31 July 2009,4,https://www.thethirdturn.com/wiki/2009_Larry_Detjens_Memorial,"Plover, WI",https://www.thethirdturn.com/wiki/Golden_Sands_Speedway,Andrew Morrissey,https://www.thethirdturn.com/wiki/Andrew_Morrissey,2009_wisconsin_challenge_series.html
wisconsin-challenge-series,Wisconsin Challenge Series,2009,5,2009-09-13,13 September 2009,5,https://www.thethirdturn.com/wiki/2009_WCS_Championship_80,"Marshfield, WI",https://www.thethirdturn.com/wiki/Marshfield_Motor_Speedway,Skylar Holzhausen,https://www.thethirdturn.com/wiki/Skylar_Holzhausen,2009_wisconsin_challenge_series.html
wisconsin-challenge-series,Wisconsin Challenge Series,2017,1,2017-06-01,1 June 2017,1,https://www.thethirdturn.com/wiki/WCS:2017-01,"Wausau, WI",https://www.thethirdturn.com/wiki/State_Park_Speedway,Dalton Zehr,https://www.thethirdturn.com/wiki/Dalton_Zehr,2017_wisconsin_challenge_series.html
wisconsin-challenge-series,Wisconsin Challenge Series,2017,2,2017-06-24,24 June 2017,2,https://www.thethirdturn.com/wiki/WCS:2017-02,"Wisconsin Dells, WI",https://www.thethirdturn.com/wiki/Dells_Raceway_Park,Andrew Morrissey,https://www.thethirdturn.com/wiki/Andrew_Morrissey,2017_wisconsin_challenge_series.html
wisconsin-challenge-series,Wisconsin Challenge Series,2017,3,2017-07-14,14 July 2017,3,https://www.thethirdturn.com/wiki/WCS:2017-03,"Plover, WI",https://www.thethirdturn.com/wiki/Golden_Sands_Speedway,Chris Weinkauf,https://www.thethirdturn.com/wiki/Chris_Weinkauf,2017_wisconsin_challenge_series.html
wisconsin-challenge-series,Wisconsin Challenge Series,2017,4,2017-08-19,19 August 2017,4,https://www.thethirdturn.com/wiki/WCS:2017-04,"Marshfield, WI",https://www.thethirdturn.com/wiki/Marshfield_Motor_Speedway,Chris Weinkauf,https://www.thethirdturn.com/wiki/Chris_Weinkauf,2017_wisconsin_challenge_series.html
wisconsin-challenge-series,Wisconsin Challenge Series,2018,1,2018-06-28,28 June 2018,1,https://www.thethirdturn.com/wiki/WCS:2018-01,"Wausau, WI",https://www.thethirdturn.com/wiki/State_Park_Speedway,Luke Fenhaus,https://www.thethirdturn.com/wiki/Luke_Fenhaus,2018_wisconsin_challenge_series.html
wisconsin-challenge-series,Wisconsin Challenge Series,2018,2,2018-07-04,4 July 2018,2,https://www.thethirdturn.com/wiki/2018_Wegner_Motorsports_75_presented_by_Ho-Chunk_Gaming,"Plover, WI",https://www.thethirdturn.com/wiki/Golden_Sands_Speedway,Mike Lichtfeld,https://www.thethirdturn.com/wiki/Mike_Lichtfeld,2018_wisconsin_challenge_series.html
wisconsin-challenge-series,Wisconsin Challenge Series,2018,3,2018-08-11,11 August 2018,3,https://www.thethirdturn.com/wiki/WCS:2018-03,"Marshfield, WI",https://www.thethirdturn.com/wiki/Marshfield_Motor_Speedway,Dalton Zehr,https://www.thethirdturn.com/wiki/Dalton_Zehr,2018_wisconsin_challenge_series.html
wisconsin-challenge-series,Wisconsin Challenge Series,2018,4,2018-09-08,8 September 2018,4,https://www.thethirdturn.com/wiki/WCS:2018-04,"Wisconsin Dells, WI",https://www.thethirdturn.com/wiki/Dells_Raceway_Park,Ryan Farrell,https://www.thethirdturn.com/wiki/Ryan_Farrell,2018_wisconsin_challenge_series.html
wisconsin-challenge-series,Wisconsin Challenge Series,2019,1,2019-06-06,6 June 2019,1,https://www.thethirdturn.com/wiki/WCS:2019-01,"Wausau, WI",https://www.thethirdturn.com/wiki/State_Park_Speedway,John Beale,https://www.thethirdturn.com/wiki/John_Beale,2019_wisconsin_challenge_series.html
wisconsin-challenge-series,Wisconsin Challenge Series,2019,2,2019-07-13,13 July 2019,2,https://www.thethirdturn.com/wiki/WCS:2019-02,"Marshfield, WI",https://www.thethirdturn.com/wiki/Marshfield_Motor_Speedway,John Beale,https://www.thethirdturn.com/wiki/John_Beale,2019_wisconsin_challenge_series.html
